B2094757D06FA5F5429B, 6117, 资和信百货商场 116.2861447, 39.837849833, 115 119, 商场, 丰台区西四环南路1号(看丹桥南侧)
B2094654D36CA3FF4393, 3902, 新华街三里 116.2914, 39.845703, 44 47, 住宅区, 丰台区新华街三里
B2094757D06AA6F5499B, 5573, 丰台火车站 116.28909, 39.84751, 19 22, 火车站, 丰台区正阳大街4号(近正阳桥)
B2094757D168A0FB449B, 10987, 科丰桥南 116.28680711, 39.84042131, 500, 未知分类, 北京西南四环
B2094654D06AA4F5449B, 15390, 丰台大桥 116.2836, 39.84805, 194 250, 公园户外, 
B2094654D068A5F9499E, 1911, 欧尚(科兴店) 116.28916, 39.8354, 115 118, 超级市场, 丰台区邻枫路1号(近富丰桥)
B2094654D36CA3FF479E, 1612, 北京丰台医院(丰台南路) 116.29596, 39.84263, 19 162, 医院, 丰台南路99号
B2094654D16EA4FA459B, 1912, 造甲街南里 116.29875, 39.84182, 44 47, 住宅区, 
B2094654D36CA3FF409F, 1320, 新华街一里 116.29327, 39.845669, 44 47, 住宅区, 北京市丰台区新华街一里
B2094654D16EA3F8449C, 982, 丰台科技园生态主题公园 116.29538, 39.8386, 194 196, 公园, 北京市丰台区科兴路1号(科怡路口)
B2094654D36AA3F4469D, 642, 时代财富天地 116.293901, 39.838262, 44 46, 楼宇, 北京丰台区航丰路1号
B2094654D66DA0F94699, 4930, 富丰桥西 116.28548, 39.8361, 601 627, 一般地点标志, 
B2094654D06AA3FE419A, 1252, 造甲街住宅小区 116.29641, 39.845192, 44 47, 住宅区, 北京丰台区造甲街,与新华街路口东侧,造甲街住宅小区
B2094654D16DA7FA4599, 2597, 正阳小区 116.28944, 39.850487, 44 47, 住宅区, 北京市丰台区正阳大街
B2094757D068AAFD419A, 537, 便宜坊烤鸭店(富丰路店) 116.28686, 39.83572, 64 69 80, 北京菜, 丰台区丰台镇富丰路2号星火科技大厦2楼(西四环富丰桥西南角)
B2094450DA68A4F5439F, 170, 新华街二里 116.28697888779037, 39.842012812046754, 44 47, 住宅区, None
B2094654D36CA1FD489F, 950, 恒富花园 116.29505, 39.83633, 44 47, 住宅区, 丰台区科技园区
B2094757D56EA5FC4299, 1709, 设计师广场(香榭寓所) 116.283012, 39.838358, 44 46, 楼宇, 丰台区西四环南路1号(看丹桥西南角)
B2094654D36CABF4439B, 989, 富丰园 116.28352, 39.83722, 44 47, 住宅区, 北京丰台区富丰桥西
B2094750DB6EA4FE409D, 368, 华林家园 116.29459, 39.841042, 44 47, 住宅区, 丰台区丰台南路甲108号(看丹桥向东500米路南)
B2094654D36CA1FD4992, 452, 阳光四季 116.299209, 39.841069, 44 47, 住宅区, 北京市新村阳光四季小区
B2094654D36CA3F8459B, 2037, 新华街五里住宅小区 116.2825752971132, 39.8427705634616, 44 47, 住宅区, 新华街
B2094654D16CABFA409D, 1047, 正阳北里 116.28696, 39.849892, 44 47, 住宅区, 丰台区文体路
B2094654D36CA3F8449B, 439, 新华街八里住宅小区 116.28782, 39.84148, 44 47, 住宅区, 新华街八里
B2094654D36AA3FD419D, 1216, 怡锦园 116.29041, 39.83366, 44 47, 住宅区, 西南四环路交界处，四环路以里
B2094654D069ABF84692, 460, 恒富大厦 116.29494, 39.83537, 44 46, 楼宇, 崇文区天坛东路
B2094654D36CA1FC4098, 1575, 韩庄子(三里) 116.2845202751438, 39.83738018455463, 44 47, 住宅区, 丰台区看丹桥附近
B2094654D36CA3FE469E, 734, 造甲街北里 116.29649, 39.84655, 44 47, 住宅区, 
B2094654D16EA5F8499B, 924, 建国街一里 116.29103, 39.84599, 44 47, 住宅区, 北京市丰台区丰台桥南建国街一里
B2094751D26FA3F94199, 113, 七公江湖烤翅(丰台火车站店) 116.289299, 39.848567, 64 269, 烧烤, 丰台区丰台火车站东200米
B2094654D36CA4FB469E, 129, 昌宁大厦 116.289795, 39.842038, 44 46, 楼宇, 丰台区桥南科学城星火路1号
B2094757D16BAAF4489F, 337, 星火科技大厦 116.292374, 39.841811, 44 252, 楼宇机构, 博罗县广汕公路北侧惠博路段(汤泉高尔夫球场内)
B2094654D16EA4FC479E, 835, 吉利双星公寓 116.29216, 39.8362, 44 47, 住宅区, 丰台科学城丰泽街2号
B2094757D56FA1F54999, 410, 总部基地(道丰科技商务园) 116.2874452, 39.83350857, 44 46, 楼宇, 南四环西路188号
B2094757D56FA1FB4693, 37, 银村街粥店 116.29175483, 39.84141927, 64 69 257, 中餐厅, 丰台区丰台南路看丹桥东侧(近新华街邮局)
B2094757D668A5F8479D, 88, 老诚一锅（看丹桥店） 116.29313, 39.8408, 64 69 87, 特色／地方风味餐厅, 丰台区丰台南路看丹桥东800米(西四环旁)
B2094654D36CA3F8409B, 50, 天悦圆 116.29101, 39.84375, 64 69 80, 北京菜, 丰台区桥南新华街三里9号
B2094654D36CA1FF499C, 705, 创业者公寓 116.29514, 39.835335, 44 47, 住宅区, 北京丰台区锦丰路恒富中街4号
B2094654D36CA3F84499, 116, 拐角烤翅 116.28633, 39.84132, 64 269, 烧烤, 丰台区新华街西口(看丹桥东北角)
B2094654D36CA0FE409F, 257, 炫风一百量贩式KTV 116.28501, 39.84805, 169 170, KTV, 丰台区正阳大街127号炫风一百4楼(近苏宁电器)
B2094450D56AA2FA469D, 420, ９号线丰台南路站 116.29061643863704, 39.83905519040063, 19 36, 地铁站, None
B2094757D065A5FA4898, 216, 平娃三宝（富丰桥店） 116.285493, 39.836145, 64 68, 快餐厅, 丰台区富丰桥西侧(近富丰桥邮局)
B2094654D66DAAF9469B, 234, 造甲村公交站 116.29727, 39.84241, 19 38, 公交车站, 
B2094654D36CA1FE4798, 243, 丰台南路116号院 116.296621, 39.847455, 44 47, 住宅区, 北京市丰台区花乡
B2094450D56AA2F54792, 398, 恒丰园 116.29633240799926, 39.83433650719607, 44 47, 住宅区, None
B2094757D16FA0FA469B, 100, 鑫三角KTV 116.29954, 39.84224, 169 170, KTV, 北京丰台区造甲村(近铁路医院)  
B2094654D16FAAFB4993, 15, 蓝谷科技大厦 116.291032, 39.843187, 44 46, 楼宇, 丰台区中关村科技园区丰台园
B2094654D36CA3F8439A, 183, 新华街四里小区 116.28985, 39.84157, 44 47, 住宅区, 
B2094654D069AAF44599, 157, 看丹苑 116.29041, 39.840717, 44 47, 住宅区, 丰台区看丹桥东200米处
B2094750D664A4FD429B, 31, 护国寺小吃店(看丹桥店) 116.28862, 39.84114, 64 69 80, 北京菜, 丰台区丰台南路168号(近千禧百旺超市)
B2094654D36CA1FC469E, 424, 韩庄子第二社区 116.28982, 39.83784, 44 47, 住宅区, 花乡
B2094654D36CA3FF4193, 63, 北京市丰台第一中学 116.29496, 39.8443, 51 55, 中学, 
B2094757D669A4F9459E, 1, 牛二奶奶（新华街店） 116.29094, 39.84349, 64 67, 甜品店, 丰台区新华街供热厂北门面8号
B2094654D36AA3F54798, 121, 写字公园 116.286912, 39.840279, 44 46, 楼宇, 丰台区丰台科学城星火路11号北京电子科技大学
B2094654D36CA1F94292, 443, 造甲南里20号小区 116.30111, 39.84096, 44 47, 住宅区, 造甲南里20
B2094757D06BA7F4459F, 277, 新华街七里 116.294076, 39.848724, 500, 未知分类, 丰台区新华街,新华街七里住宅小区内
B2094757D16FA7F94592, 28, 三毛串店 116.2961, 39.84462, 64 68, 快餐厅, 丰台区造甲街(丰台桥南)
B2094757D66DA4FD429C, 25, 福顺居（丰台桥南店） 116.28823, 39.84276, 64 69 80, 北京菜, 丰台区丰台桥南新华街西
B2094757D56FA1FE409E, 520, 南开西里 116.286243, 39.845935, 44 47, 住宅区, 丰台区看丹桥西看丹路南
B2094654D36CA3FF479F, 7, 馒头店 116.29355, 39.84185, 64 247, 餐饮美食, 
B2094654D36CA3F9419A, 29, 稻香村（看丹桥店） 116.28781, 39.84273, 64 68, 快餐厅, 丰台区新华街七里10号楼(看丹桥南对面)
B2094757D668A0FF4099, 45, 牛B奶奶台湾珍珠奶茶 造甲店 116.29553, 39.8451, 64 67, 甜品店, 丰台区造甲街1号(近丰台一中)
B2094654D16DA2FB439F, 29, 丰台南路小区 116.2928, 39.84183, 44 47, 住宅区, 丰台南路103-105
B2094757D56FA3F4439A, 19, 审美造型 116.29072211, 39.84170492, 19 148, 美容美发店, 中国北京市丰台区丰台南路
B2094654D068A5F94192, 69, 新华街七里住宅小区 116.28772, 39.84244, 44 47, 住宅区, 
B2094654D36CA3F8489F, 5, 克丽缇娜(新华街) 116.29038, 39.84346, 19 148, 美容美发店, 丰台区新华街五里
